"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","qua.type","predited"
"1367",7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5,"1","1"
"1370",6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4,"1","1"
"1374",7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5,"1","1"
"1376",7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5,"1","1"
"1379",7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6,"2","2"
"1385",7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5,"1","1"
"1391",6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,6,"2","2"
"1392",8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,"1","1"
"1393",7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5,"1","1"
"1409",8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7,"3","3"
"1414",9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,5,"1","1"
"1419",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,"1","1"
"1425",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,"2","2"
"1426",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,"2","2"
"1431",7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,5,"1","1"
"1457",6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,6,"2","2"
"1458",7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5,"1","1"
"1461",6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6,"2","2"
"1462",6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,"1","1"
"1466",6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5,"1","1"
"1471",10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5,"1","1"
"1473",7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1,6,"2","2"
"1479",7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3,"1","1"
"1480",8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5,"1","1"
"1499",6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6,"2","2"
"1507",6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6,"2","2"
"1508",7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6,"2","2"
"1514",6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6,"2","2"
"1518",6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6,"2","2"
"1522",6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4,"1","1"
"1523",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,"1","1"
"1535",6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7,"3","3"
"1547",7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,5,"1","1"
"1549",11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5,"1","1"
"1550",7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8,"3","3"
"1552",7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,"1","1"
"1554",7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5,"1","1"
"1556",7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7,"3","3"
"1558",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6,"2","2"
"1559",6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5,"1","1"
"1563",7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,"1","1"
"1567",6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6,"2","2"
"1569",7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5,"1","1"
"1575",5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6,"2","2"
"1580",6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,"1","1"
"1585",6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7,"3","3"
"1588",5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6,"2","2"
"1590",6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5,"1","1"
"1598",5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5,"1","1"
"1599",6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6,"2","2"
